file,token,cls,operator,params,ep_ratio,ref_min_gap_s,label_is_unjustified_conservative,label_note
turn_041_87efb8cf52135247_G3b.png,87efb8cf52135247,turn,G3b,"{'decel': 1.5, 'start_s': 0.0}",0.4,,,
turn_042_c05f89f644505f4c_G2.png,c05f89f644505f4c,turn,G2,{'alpha': 0.65},0.68,,,
turn_043_076e4afb95d057cf_G2.png,076e4afb95d057cf,turn,G2,{'alpha': 0.5},0.62,,,
turn_044_c82bebed0dac5691_G3b.png,c82bebed0dac5691,turn,G3b,"{'decel': 1.5, 'start_s': 1.0}",0.39,,,
turn_045_60dfaa1afc395c5d_G2.png,60dfaa1afc395c5d,turn,G2,{'alpha': 0.5},0.57,,,
turn_046_3502b30911d75ed8_G2.png,3502b30911d75ed8,turn,G2,{'alpha': 0.5},0.59,,,
turn_047_e072351fbbfd5765_G3b.png,e072351fbbfd5765,turn,G3b,"{'decel': 1.5, 'start_s': 1.0}",0.63,,,
turn_048_2073f76964735ff7_G2.png,2073f76964735ff7,turn,G2,{'alpha': 0.5},0.54,3.5,,
turn_049_0388cd6f1af65029_G2.png,0388cd6f1af65029,turn,G2,{'alpha': 0.5},0.59,,,
turn_050_667ad9e70e1d525c_G2.png,667ad9e70e1d525c,turn,G2,{'alpha': 0.5},0.6,,,
turn_051_a6be7050ff205933_G3b.png,a6be7050ff205933,turn,G3b,"{'decel': 1.5, 'start_s': 1.0}",0.34,,,
turn_052_b874be1fb9885c0e_G2.png,b874be1fb9885c0e,turn,G2,{'alpha': 0.65},0.73,,,
turn_053_659d1e0ce6cd5c97_G2.png,659d1e0ce6cd5c97,turn,G2,{'alpha': 0.65},0.78,2.5,,
turn_054_5041cdf76ecb5ee7_G2.png,5041cdf76ecb5ee7,turn,G2,{'alpha': 0.5},0.57,,,
turn_055_7f3ebea7b3415f87_G3b.png,7f3ebea7b3415f87,turn,G3b,"{'decel': 1.5, 'start_s': 0.0}",0.37,,,
turn_056_559c4c23eb5d565a_G3b.png,559c4c23eb5d565a,turn,G3b,"{'decel': 1.5, 'start_s': 0.0}",0.71,,,
turn_057_7ae0a03be0c357d2_G3b.png,7ae0a03be0c357d2,turn,G3b,"{'decel': 1.5, 'start_s': 1.0}",0.53,,,
turn_058_45d416b638f95a9c_G2.png,45d416b638f95a9c,turn,G2,{'alpha': 0.5},0.61,,,
turn_059_fd4b31afd0915f92_G3b.png,fd4b31afd0915f92,turn,G3b,"{'decel': 1.5, 'start_s': 1.0}",0.66,,,
